VtoP;nb2017;nb2019;nb2020;VtoPtest;nb2020test;nb2021;VtoP00;real2021;;;;;;;;;;;;;;;;;;;;;;;;;;
33.26375;85;107;101;23.26375;101;90;33.26;21;;;;;;;;;;;;;;;;;;;;;;;;;;
34.8565;87;105;107;24.8565;107;105;34.86;20;;;;;;;;;;;;;;;;;;;;;;;;;;
36.44925;96;126;102;26.44925;102;79;36.45;21;;;;;;;;;;;;;;;;;;;;;;;;;;
38.042;104;89;93;28.042;93;83;38.04;19;;;;;;;;;;;;;;;;;;;;;;;;;;
39.767;81;103;103;29.767;103;93;39.77;24;;;;;;;;;;;;;;;;;;;;;;;;;;
41.492;0;0;0;31.492;0;0;41.49;0;;;;;;;;;;;;;;;;;;;;;;;;;;
43.217;97;80;67;33.217;67;77;43.22;20;;;;;;;;;;;;;;;;;;;;;;;;;;
44.942;77;101;94;34.942;94;70;44.94;21;;;;;;;;;;;;;;;;;;;;;;;;;;
46.7705;98;83;84;36.7705;84;74;46.77;25;;;;;;;;;;;;;;;;;;;;;;;;;;
48.599;76;77;76;38.599;76;68;48.6;19;;;;;;;;;;;;;;;;;;;;;;;;;;
50.4275;65;78;81;40.4275;81;55;50.43;18;;;;;;;;;;;;;;;;;;;;;;;;;;
52.256;77;80;96;42.256;96;64;52.26;25;;;;;;;;;;;;;;;;;;;;;;;;;;
53.981;79;77;60;43.981;60;46;53.98;21;;;;;;;;;;;;;;;;;;;;;;;;;;
55.706;73;71;67;45.706;67;41;55.71;14;;;;;;;;;;;;;;;;;;;;;;;;;;
57.431;81;82;63;47.431;63;51;57.43;22;;;;;;;;;;;;;;;;;;;;;;;;;;
59.156;0;0;0;49.156;0;0;59.16;0;;;;;;;;;;;;;;;;;;;;;;;;;;
60.513;75;58;73;50.513;73;51;60.51;20;;;;;;;;;;;;;;;;;;;;;;;;;;
61.87;63;74;73;51.87;73;38;61.87;25;;;;;;;;;;;;;;;;;;;;;;;;;;
63.227;63;87;56;53.227;56;53;63.23;36;;;;;;;;;;;;;;;;;;;;;;;;;;
64.584;73;69;55;54.584;55;49;64.58;31;;;;;;;;;;;;;;;;;;;;;;;;;;
65.619;54;59;55;55.619;55;45;65.62;30;;;;;;;;;;;;;;;;;;;;;;;;;;
66.654;70;49;55;56.654;55;49;66.65;26;;;;;;;;;;;;;;;;;;;;;;;;;;
67.689;60;56;50;57.689;50;40;67.69;22;;;;;;;;;;;;;;;;;;;;;;;;;;
68.724;59;56;60;58.724;60;46;68.72;27;;;;;;;;;;;;;;;;;;;;;;;;;;
69.0575;0;0;0;59.0575;0;0;69.06;0;;;;;;;;;;;;;;;;;;;;;;;;;;
69.391;46;63;43;59.391;43;34;69.39;22;;;;;;;;;;;;;;;;;;;;;;;;;;
69.7245;49;33;57;59.7245;57;49;69.72;31;;;;;;;;;;;;;;;;;;;;;;;;;;
70.058;61;39;42;60.058;42;41;70.06;30;;;;;;;;;;;;;;;;;;;;;;;;;;
70.16725;51;40;40;60.16725;40;40;70.17;27;;;;;;;;;;;;;;;;;;;;;;;;;;
70.2765;43;35;51;60.2765;51;24;70.28;12;;;;;;;;;;;;;;;;;;;;;;;;;;
70.38575;38;44;46;60.38575;46;25;70.39;17;;;;;;;;;;;;;;;;;;;;;;;;;;
70.495;37;38;41;60.495;41;33;70.5;23;;;;;;;;;;;;;;;;;;;;;;;;;;
70.541;40;41;39;60.541;39;32;70.54;24;;;;;;;;;;;;;;;;;;;;;;;;;;
70.587;0;0;0;60.587;0;0;70.59;0;;;;;;;;;;;;;;;;;;;;;;;;;;
70.633;39;38;36;60.633;36;30;70.63;19;;;;;;;;;;;;;;;;;;;;;;;;;;
70.679;37;40;38;60.679;38;25;70.68;19;;;;;;;;;;;;;;;;;;;;;;;;;;
70.6905;26;30;35;60.6905;35;36;70.69;26;;;;;;;;;;;;;;;;;;;;;;;;;;
70.702;33;36;35;60.702;35;27;70.7;19;;;;;;;;;;;;;;;;;;;;;;;;;;
70.7135;34;25;27;60.7135;27;22;70.71;14;;;;;;;;;;;;;;;;;;;;;;;;;;
70.725;551;523;603;60.725;603;405;70.73;317;;;;;;;;;;;;;;;;;;;;;;;;;;
