jcost;jcost2;jcost3;jcostbal;jcap;backup;;balav21;balshort21;ballong21;balpos21;balneg21;;balav20;balshort20;ballong20;;balav19;balshort19;ballong19
45.088;65.088;85.088;70;2;45.22;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.09;65.09;85.09;70;2;45.225;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.092;65.092;85.092;70;2;45.23;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.094;65.094;85.094;70;2;45.235;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.096;65.096;85.096;70;2;45.24;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.098;65.098;85.098;70;2;45.245;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.1;65.1;85.1;70;2;45.25;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.102;65.102;85.102;70;2;45.255;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.104;65.104;85.104;70;2;45.26;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.106;65.106;85.106;70;2;45.265;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.108;65.108;85.108;70;2;45.27;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.11;65.11;85.11;70;2;45.275;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.112;65.112;85.112;70;2;45.28;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.114;65.114;85.114;70;2;45.285;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.116;65.116;85.116;70;2;45.29;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.118;65.118;85.118;70;2;45.295;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.12;65.12;85.12;70;2;45.3;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.122;65.122;85.122;70;2;45.305;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
45.124;65.124;85.124;70;2;45.31;;59.52;128.49;-4.79;93.16;-47.8;;23.53;67.9;-20.94;;35.42;81.58;-3.5
